,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,district
0,0,The Bedroom Ladprao 101,"99 Soi Ladprao 101 Ladprao Road Klongchan, Bangkapi Bangkok, Bang Kapi, Bangkok, Thailand, 10240",4.0,6.9,Foodland Lard Prao && 1.27 km ; Imperial World Lard Prao && 2.03 km ; Crystal Design Center && 2.5 km ; Tawanna Plaza && 2.51 km ; N Mark Plaza && 2.52 km ; Major Cineplex Bangkapi && 2.52 km ; Raan Bai Mai && 2.58 km ; Nawamin Phirom Park && 2.63 km ; Wat Klang Pier && 2.68 km ; The Mall Bangkapi && 2.69 km,Terminal 21 Shopping Mall && 9.44 km ; Central World && 10.95 km ; Jim Thompson && 12.31 km ; Wat Saket && 13.95 km ; Yaowarat Road && 14.12 km ; Khao San Road && 14.75 km ; Wat Phra Kaew && 15.6 km ; Grand Palace && 15.63 km ; Wat Pho Temple && 15.63 km ; Asiatique - The Riverfront && 16.63 km,Bang Kapi
1,1,Nasa Vegas Hotel,"44 Sukhumvit 71-Ramkhamhaeng Road, Suanluang (Airport Link - Ramkhamhaeng Station), Ratchadaphisek, Bangkok, Thailand, 10250",3.0,7.8,Klong Tan Pier && 410 m ; Central Plaza Grand Rama 9 && 1.02 km ; Seri Market && 1.08 km ; Rama XI Marsh && 1.29 km ; Chan Issara Pier && 1.45 km ; Phanphirom Park && 1.46 km ; The Mall 3 Pier && 1.46 km ; Emporium Armani && 1.64 km ; Thong Lo Pier && 1.73 km ; Ramkhamhaeng 29 Pier && 1.99 km,Terminal 21 Shopping Mall && 4.52 km ; Central World && 6.77 km ; Jim Thompson && 7.52 km ; Yaowarat Road && 9.96 km ; Wat Saket && 10.35 km ; Khao San Road && 11.36 km ; Asiatique - The Riverfront && 11.48 km ; Wat Pho Temple && 11.79 km ; Wat Phra Kaew && 11.89 km ; Grand Palace && 11.94 km,Ratchadaphisek
2,2,Romance Hotel Bangna,"19 Soi Srinakarin56, Srinakarin Rd., Nongbon, Pravate, Bang Na, Bangkok, Thailand, 10250",3.5,7.3,Paradise Park && 860 m ; Central Plaza Bangna && 1.22 km ; Paradise Park Mall && 1.37 km ; Seacon Square && 2.1 km ; Train Night Market Srinakarin && 2.31 km ; Miss Violet Vintage Shop && 2.36 km ; Rama IX Royal Park && 2.56 km ; Bangkok Patana International School && 2.7 km ; Wat Sri Iam Temple && 2.7 km ; Berkeley International School && 3.21 km,Terminal 21 Shopping Mall && 11.26 km ; Jim Thompson && 13.31 km ; Central World && 13.65 km ; Asiatique - The Riverfront && 15.41 km ; Yaowarat Road && 16.11 km ; Wat Saket && 17.1 km ; Wat Pho Temple && 18.04 km ; Khao San Road && 18.19 km ; Wat Phra Kaew && 18.29 km ; Grand Palace && 18.35 km,Bang Na
3,3,MonkeyNap Hostel,"1/45-1/48 Sukhumvit 30 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",2.5,8.0,"Rain Hill Plaza && 110 m ; Friends 'N' Stuff Bangkok && 240 m ; Akko Art Gallery && 300 m ; 24th Avenue && 510 m ; AL-Mubeen Carpets Bangkok, Thailand && 590 m ; Emporium Shopping Complex && 600 m ; Thailand Creative & Design Center && 610 m ; Laan Gao && 630 m ; Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km",Terminal 21 Shopping Mall && 1.79 km ; Central World && 4.21 km ; Jim Thompson && 4.3 km ; Yaowarat Road && 7.01 km ; Wat Saket && 7.77 km ; Asiatique - The Riverfront && 7.96 km ; Khao San Road && 8.85 km ; Wat Pho Temple && 8.94 km ; Wat Phra Kaew && 9.12 km ; Grand Palace && 9.18 km,Sukhumvit
4,4,SC Park Hotel,"474 Praditmanutham Road, Wangthonglang, Ratchadaphisek, Bangkok, Thailand, 10310",4.0,7.6,Ramkhamhaeng 29 Pier && 1.41 km ; Wat Thepleela Pier && 1.42 km ; The Mall 3 Pier && 1.53 km ; Rama XI Marsh && 1.54 km ; Ramkhamhaeng University Pier && 1.75 km ; Tadu Contemporary Art && 1.97 km ; Ramkhamhaeng University && 2 km ; Central Plaza Grand Rama 9 && 2.13 km ; The Regent's International School && 2.14 km ; Phanphirom Park && 2.19 km,Terminal 21 Shopping Mall && 5.72 km ; Central World && 7.33 km ; Jim Thompson && 8.61 km ; Wat Saket && 10.55 km ; Yaowarat Road && 10.56 km ; Khao San Road && 11.43 km ; Wat Pho Temple && 12.17 km ; Wat Phra Kaew && 12.19 km ; Grand Palace && 12.22 km ; Asiatique - The Riverfront && 12.91 km,Ratchadaphisek
5,5,B2 Bangkok Hotel - Srinakarin,"12 Srinakharin 2 (Kornkanok) Rd., Hua Mark, Bangkapi, Bang Kapi, Bangkok, Thailand, 10240",3.0,7.4,The Mall Bang Kapi Pier && 1.22 km ; Bang Kapi Pier && 1.28 km ; The Mall Bangkapi && 1.37 km ; Tawanna Plaza && 1.53 km ; N Mark Plaza && 1.57 km ; Suan Serithai && 1.61 km ; Wat Klang Pier && 1.61 km ; Raan Bai Mai && 1.62 km ; Major Cineplex Bangkapi && 1.63 km ; Wat Sriboonrueng Pier && 1.67 km,Terminal 21 Shopping Mall && 9.27 km ; Central World && 11.41 km ; Jim Thompson && 12.28 km ; Yaowarat Road && 14.65 km ; Wat Saket && 14.9 km ; Khao San Road && 15.86 km ; Asiatique - The Riverfront && 16.22 km ; Wat Pho Temple && 16.42 km ; Wat Phra Kaew && 16.49 km ; Grand Palace && 16.53 km,Bang Kapi
6,6,The Embassy Sathorn,"31 South Sathorn Road Thungmahamek, Sathorn, Bangkok, Thailand,                     ",3.0,7.8,Surapon Gallery && 70 m ; St Andrews International School Sathorn Campus && 300 m ; Red Bull X Park && 320 m ; Ruen-Nuad Massage & Yoga && 440 m ; Saint Joseph Convent School && 490 m ; Wat Kuhasawan && 500 m ; July Tailor && 500 m ; Silom Business Area && 590 m ; Silom Complex && 610 m ; Bangkok CityCity Gallery && 640 m,Jim Thompson && 890 m ; Central World && 2.44 km ; Terminal 21 Shopping Mall && 2.83 km ; Yaowarat Road && 3.6 km ; Asiatique - The Riverfront && 4.37 km ; Wat Saket && 4.77 km ; Wat Pho Temple && 5.51 km ; Wat Phra Kaew && 5.77 km ; Khao San Road && 5.82 km ; Grand Palace && 5.84 km,Sathorn
7,8,Siam Privi Hotel,"49 Pracha Uthit Soi 9, Khwaeng Samsen Nok, Khet Huai Khwang, Din Daeng, Ratchadaphisek, Bangkok, Thailand, 10310",3.0,6.6,The Regent's International School && 610 m ; Tadu Contemporary Art && 950 m ; Mansion 7 Shopping Center && 1.21 km ; Huay Kwang Night Bazaar && 1.34 km ; Huay Kwang Stadium && 1.39 km ; The Street && 1.57 km ; Train Night Market Ratchada && 1.68 km ; Art in Paradise Bangkok Museum && 1.71 km ; Esplanade Shopping Center && 1.75 km ; Ratchada Soi 8 && 1.81 km,Terminal 21 Shopping Mall && 4.87 km ; Central World && 5.68 km ; Jim Thompson && 7.28 km ; Wat Saket && 8.47 km ; Yaowarat Road && 8.73 km ; Khao San Road && 9.26 km ; Wat Phra Kaew && 10.12 km ; Grand Palace && 10.14 km ; Wat Pho Temple && 10.16 km ; Asiatique - The Riverfront && 11.66 km,Ratchadaphisek
8,9,De Botan Hotel,"12 Soi Supapong 3 section 2, Srinakharin Rd., Nong Bon, Prawet, Bangkok 10250, Bang Na, Bangkok, Thailand, 10250",3.0,7.5,Seacon Square && 220 m ; Miss Violet Vintage Shop && 370 m ; Train Night Market Srinakarin && 410 m ; Paradise Park Mall && 910 m ; Paradise Park && 1.44 km ; Jim Thompson Factory Soi 93 Outlet && 2.05 km ; Rama IX Royal Park && 2.06 km ; Pickadaily Bangkok Community Mall && 2.1 km ; Wat Krathum Suea Pla && 3.04 km ; Dhammamongkol Temple && 3.21 km,Terminal 21 Shopping Mall && 10.42 km ; Jim Thompson && 12.83 km ; Central World && 12.88 km ; Asiatique - The Riverfront && 15.51 km ; Yaowarat Road && 15.63 km ; Wat Saket && 16.46 km ; Khao San Road && 17.54 km ; Wat Pho Temple && 17.57 km ; Wat Phra Kaew && 17.78 km ; Grand Palace && 17.84 km,Bang Na
9,10,The Boss Sathorn Hotel,"35/33 Soi Suwansawas/Rama 4 rd., Thungmahamek Sathorn Bangkok, Sathorn, Bangkok, Thailand, 10120",2.5,6.6,Goethe Institut && 560 m ; Bangkok CityCity Gallery && 740 m ; Boxing Stadium && 840 m ; Bhumibol Bridge (Industrial Ring Road Bridge) && 900 m ; Amar the boss && 1.03 km ; Khlong Toei Market && 1.1 km ; Queen Sirikit National Convention Center && 1.19 km ; Surapon Gallery && 1.28 km ; Rajamangala University of Technology Krungthep && 1.38 km ; Lumphini Park && 1.48 km,Jim Thompson && 2.04 km ; Terminal 21 Shopping Mall && 2.32 km ; Central World && 3.06 km ; Yaowarat Road && 4.82 km ; Asiatique - The Riverfront && 5.23 km ; Wat Saket && 5.92 km ; Wat Pho Temple && 6.75 km ; Khao San Road && 6.99 km ; Wat Phra Kaew && 7 km ; Grand Palace && 7.07 km,Sathorn
10,12,Ten Ekamai Suites by Aspira,"33/39 Ekamai Soi 10, Sukhumvit 63 Road., Klongton-Nua, Wattana, Bangkok 10110 Thailand, Sukhumvit, Bangkok, Thailand, 10110",4.0,7.0,"Bangkok Farmer's Market && 570 m ; The Boss Avenue (Tailor) && 730 m ; Herrmann Suits && 850 m ; Enlever Ses Vetements && 870 m ; The Eight, Thonglor && 930 m ; Maze Thonglor && 1.01 km ; J Avenue, Thonglor && 1.07 km ; theCOMMONS && 1.12 km ; Terminal 21 Shopping Mall && 3.36 km ; Central World && 5.82 km",Terminal 21 Shopping Mall && 3.36 km ; Central World && 5.82 km ; Jim Thompson && 6.13 km ; Yaowarat Road && 8.8 km ; Wat Saket && 9.44 km ; Asiatique - The Riverfront && 9.78 km ; Khao San Road && 10.51 km ; Wat Pho Temple && 10.71 km ; Wat Phra Kaew && 10.87 km ; Grand Palace && 10.92 km,Sukhumvit
11,13,48Metro Hotel Bangkok,"Ladprao-wanghin48, Ratchada32, Ratchadaphisek, Bangkok, Thailand, 10230",3.5,7.5,Wat Lat Phrao && 2.05 km ; Chinese House && 2.32 km ; Liab Duan Night Market && 2.46 km ; House of Dhamma && 2.55 km ; The Crystal Shopping Mall && 3.04 km ; Crystal Design Center && 3.14 km ; Crystal Design Center (CDC) && 3.21 km ; Horwang School && 3.23 km ; Fashionlicious Tours && 3.24 km ; Union Mall && 3.29 km,Terminal 21 Shopping Mall && 9.62 km ; Central World && 9.87 km ; Jim Thompson && 11.64 km ; Wat Saket && 11.67 km ; Khao San Road && 12.13 km ; Yaowarat Road && 12.4 km ; Grand Palace && 13.2 km ; Wat Phra Kaew && 13.2 km ; Wat Pho Temple && 13.36 km ; Asiatique - The Riverfront && 15.92 km,Ratchadaphisek
12,14,Sukhumvit 20 Hotel,"64/1 sukhumvit soi 20, Sukhumvit, Bangkok, Thailand, 10110",2.0,7.1,Gallery F-Stop && 120 m ; Damanino Bespoke && 170 m ; Dptailors && 170 m ; De Fabiano Bespoke Tailors && 180 m ; Stylo's Collection && 190 m ; Jass Fashions && 230 m ; Adorable Mine Shop && 250 m ; Samadha Thai Pants && 250 m ; Terminal 21 Shopping Mall && 690 m ; Central World && 3.06 km,Terminal 21 Shopping Mall && 690 m ; Central World && 3.06 km ; Jim Thompson && 3.3 km ; Yaowarat Road && 5.93 km ; Wat Saket && 6.63 km ; Asiatique - The Riverfront && 7.26 km ; Khao San Road && 7.71 km ; Wat Pho Temple && 7.84 km ; Wat Phra Kaew && 8.01 km ; Grand Palace && 8.07 km,Sukhumvit
13,15,14 Resort,"2/1-3 Petkasem Road, Soi 35/1 Bangwaa, Pasicharoen, Bangkok 10160, South Thonburi, Bangkok, Thailand, 10160",3.0,8.1,Wat Paknam Bhasicharoen  Temple && 1.78 km ; The Mall Bangkae && 2.64 km ; Automotive Technology School && 3.45 km ; Tha Tien Market && 4.41 km ; Wat Kok && 4.56 km ; Talad Plu Market && 4.58 km ; Thonburi Vocational School && 4.89 km ; Admire Tailors && 4.93 km ; Siam Technology College && 5.13 km ; Makro Bangbon && 5.25 km,Wat Pho Temple && 7.6 km ; Grand Palace && 7.73 km ; Wat Phra Kaew && 7.74 km ; Asiatique - The Riverfront && 7.75 km ; Khao San Road && 8.81 km ; Yaowarat Road && 8.97 km ; Wat Saket && 9.32 km ; Jim Thompson && 11.14 km ; Central World && 12.18 km ; Terminal 21 Shopping Mall && 14.15 km,South Thonburi
14,16,Bangkok 68,"68 , Soi Ratchada 17 ( Soi Intamara 45) ,Dindaeng, Ratchadaphisek, Bangkok, Thailand, 10400",3.0,6.9,The Street && 520 m ; Mansion 7 Shopping Center && 670 m ; Huay Kwang Night Bazaar && 940 m ; Huay Kwang Stadium && 1.09 km ; Train Night Market Ratchada && 2.07 km ; Art in Paradise Bangkok Museum && 2.23 km ; Esplanade Shopping Center && 2.27 km ; The Regent's International School && 2.29 km ; Wat Lat Phrao && 2.33 km ; Ratchada Soi 8 && 2.39 km,Terminal 21 Shopping Mall && 5.5 km ; Central World && 5.55 km ; Jim Thompson && 7.32 km ; Wat Saket && 7.68 km ; Yaowarat Road && 8.22 km ; Khao San Road && 8.32 km ; Wat Phra Kaew && 9.3 km ; Grand Palace && 9.31 km ; Wat Pho Temple && 9.39 km ; Asiatique - The Riverfront && 11.6 km,Ratchadaphisek
15,17,Stay Hotel BKK,"45 Ratchadapisek 17, Dindaeng, Bangkok Thailand, Ratchadaphisek, Bangkok, Thailand, 10400",3.5,7.8,The Street && 340 m ; Mansion 7 Shopping Center && 520 m ; Huay Kwang Night Bazaar && 1.02 km ; Huay Kwang Stadium && 1.17 km ; Train Night Market Ratchada && 2.14 km ; Wat Lat Phrao && 2.17 km ; The Regent's International School && 2.22 km ; Art in Paradise Bangkok Museum && 2.29 km ; Esplanade Shopping Center && 2.34 km ; Ratchada Soi 8 && 2.45 km,Terminal 21 Shopping Mall && 5.59 km ; Central World && 5.7 km ; Jim Thompson && 7.46 km ; Wat Saket && 7.86 km ; Yaowarat Road && 8.39 km ; Khao San Road && 8.5 km ; Wat Phra Kaew && 9.48 km ; Grand Palace && 9.49 km ; Wat Pho Temple && 9.57 km ; Asiatique - The Riverfront && 11.75 km,Ratchadaphisek
16,18,Baron Zotel,"77 Soi.ladprao 117 ladprao Rd., klongjun bangkapi, Bang Kapi, Bangkok, Thailand, 10240",3.5,7.1,N Mark Plaza && 440 m ; Major Cineplex Bangkapi && 460 m ; Tawanna Plaza && 470 m ; Raan Bai Mai && 530 m ; The Mall Bangkapi && 620 m ; The Mall Bang Kapi Pier && 780 m ; Bang Kapi Pier && 990 m ; Suan Serithai && 1.08 km ; Wat Klang Pier && 1.18 km ; Wat Sriboonrueng Pier && 1.24 km,Terminal 21 Shopping Mall && 9.46 km ; Central World && 11.33 km ; Jim Thompson && 12.45 km ; Yaowarat Road && 14.57 km ; Wat Saket && 14.62 km ; Khao San Road && 15.5 km ; Wat Pho Temple && 16.23 km ; Wat Phra Kaew && 16.25 km ; Grand Palace && 16.28 km ; Asiatique - The Riverfront && 16.62 km,Bang Kapi
17,19,3 Howw Hostel at Sukhumvit 21,"32/9 Sukhumvit 21 Soi 1 Asokmontri Rd. Wattana, Sukhumvit, Bangkok, Thailand, 11110",2.5,8.8,Ravi Sehgal Bespoke && 260 m ; Ambassador & Smart Fashion && 280 m ; Jesse and Son Custom Tailors && 300 m ; Zerutti && 310 m ; British Custom Tailors && 350 m ; Robinson Sukhumvit && 350 m ; Terminal 21 Shopping Mall && 360 m ; Mandalay Magic Tailors && 370 m ; Sukumvit Plaza Korean Town && 390 m ; Central World && 2.55 km,Terminal 21 Shopping Mall && 360 m ; Central World && 2.55 km ; Jim Thompson && 3.29 km ; Yaowarat Road && 5.67 km ; Wat Saket && 6.18 km ; Khao San Road && 7.23 km ; Asiatique - The Riverfront && 7.52 km ; Wat Pho Temple && 7.52 km ; Wat Phra Kaew && 7.66 km ; Grand Palace && 7.71 km,Sukhumvit
18,20,VX The Fifty Hostel,"285/2-4 Sukhumvit Soi 50, Klongtoey, Sukhumvit, Bangkok, Thailand, 10260",2.0,7.3,Tesco Lotus Sukhumvit && 530 m ; HOF Art Space at W District && 830 m ; W Market && 1.13 km ; On Nut Market && 1.18 km ; QiSS Mall && 1.41 km ; Asia Herb Association - Phrom Phong Shop && 1.68 km ; Bangkok University City Campus && 1.71 km ; Wat That Thong && 1.93 km ; Enlever Ses Vetements && 2 km ; Gateway Ekamai && 2 km,Terminal 21 Shopping Mall && 5.27 km ; Jim Thompson && 7.3 km ; Central World && 7.61 km ; Asiatique - The Riverfront && 9.96 km ; Yaowarat Road && 10.1 km ; Wat Saket && 11.05 km ; Wat Pho Temple && 12.04 km ; Khao San Road && 12.14 km ; Wat Phra Kaew && 12.27 km ; Grand Palace && 12.34 km,Sukhumvit
19,21,Wongcharearn Mansion,"106 Ladprao 130, Ladprao Road, Klongjun, Bangkapi, Bang Kapi, Bangkok, Thailand, 10240",2.0,7.2,Wat Klang Pier && 830 m ; Tawanna Plaza && 1.08 km ; N Mark Plaza && 1.21 km ; The Mall Bangkapi && 1.27 km ; Saphan Mit Mahat Thai Pier && 1.29 km ; Major Cineplex Bangkapi && 1.32 km ; Foodland Lard Prao && 1.36 km ; The Mall Bang Kapi Pier && 1.38 km ; Raan Bai Mai && 1.41 km ; SAT Health Garden && 1.61 km,Terminal 21 Shopping Mall && 8.56 km ; Central World && 10.38 km ; Jim Thompson && 11.54 km ; Yaowarat Road && 13.62 km ; Wat Saket && 13.65 km ; Khao San Road && 14.54 km ; Wat Pho Temple && 15.27 km ; Wat Phra Kaew && 15.29 km ; Grand Palace && 15.32 km ; Asiatique - The Riverfront && 15.74 km,Bang Kapi
20,22,Solitaire Bangkok Sukhumvit 11,"75/23 Soi Sukhumvit 13 Sukhumvit Road, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",4.5,8.0,Ambassador Hotel Fitness Centre && 250 m ; Wattana Wittaya Academy && 330 m ; Best Tailor && 350 m ; Patrick&Co && 420 m ; Nick's International Boutique House && 450 m ; Jhasper Fashion Custom Tailors && 480 m ; Nana Nuea Pier && 510 m ; Baron's Fashions && 520 m ; Paul Bespoke && 540 m ; Zerutti && 550 m,Terminal 21 Shopping Mall && 910 m ; Central World && 1.97 km ; Jim Thompson && 3.08 km ; Yaowarat Road && 5.19 km ; Wat Saket && 5.57 km ; Khao San Road && 6.61 km ; Wat Pho Temple && 6.99 km ; Wat Phra Kaew && 7.1 km ; Grand Palace && 7.15 km ; Asiatique - The Riverfront && 7.43 km,Sukhumvit
21,23,Parc Town in Town,"1203/2-217 ซอย ลาดพร้าว 94 แขวง พลับพลา เขต วังทองหลาง กรุงเทพมหานคร 10312, Bang Kapi, Bangkok, Thailand, 10310",3.0,7.8,Ramkhamhaeng University Pier && 1.31 km ; Wat Thepleela Pier && 1.32 km ; Foodland Lard Prao && 1.42 km ; Ramkhamhaeng 29 Pier && 1.52 km ; Imperial World Lard Prao && 1.53 km ; Saphan Mit Mahat Thai Pier && 1.64 km ; Ramkhamhaeng University && 1.7 km ; The Mall 3 Pier && 1.95 km ; Rajamangala Stadium && 2.23 km ; SAT Health Garden && 2.31 km,Terminal 21 Shopping Mall && 6.77 km ; Central World && 8.39 km ; Jim Thompson && 9.67 km ; Wat Saket && 11.58 km ; Yaowarat Road && 11.61 km ; Khao San Road && 12.44 km ; Wat Pho Temple && 13.21 km ; Wat Phra Kaew && 13.22 km ; Grand Palace && 13.25 km ; Asiatique - The Riverfront && 13.96 km,Bang Kapi
22,24,Best Comfort Bangkok Hotel,"49 Soi Sukhumvit 19, Wattana, Sukhumvit, Bangkok, Thailand, 10110",3.5,8.1,Zerutti && 30 m ; Ambassador & Smart Fashion && 210 m ; Ravi Sehgal Bespoke && 220 m ; Best Tailor && 240 m ; Jesse and Son Custom Tailors && 250 m ; Robinson Sukhumvit && 260 m ; St. Marco Tailor && 280 m ; Atelier Azzurro && 280 m ; Narry Tailors && 290 m ; Liu's Bootery && 290 m,Terminal 21 Shopping Mall && 390 m ; Central World && 2.23 km ; Jim Thompson && 3.02 km ; Yaowarat Road && 5.35 km ; Wat Saket && 5.86 km ; Khao San Road && 6.91 km ; Wat Pho Temple && 7.21 km ; Asiatique - The Riverfront && 7.29 km ; Wat Phra Kaew && 7.33 km ; Grand Palace && 7.39 km,Sukhumvit
23,25,Boss Suites Nana,"40,42 Sukhumvit Soi 4 (Nana Tai) Sukhumvit Road Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",3.5,7.1,Nana Fashions && 360 m ; Tailor On Ten && 380 m ; R and R Apparel International && 430 m ; Masjid Indonesia && 510 m ; La Moda && 530 m ; Crown Tailor && 530 m ; Tom's Fashion && 540 m ; Venus Jewelry && 550 m ; Terminal 21 Shopping Mall && 850 m ; Central World && 1.82 km,Terminal 21 Shopping Mall && 850 m ; Central World && 1.82 km ; Jim Thompson && 2.17 km ; Yaowarat Road && 4.68 km ; Wat Saket && 5.36 km ; Asiatique - The Riverfront && 6.4 km ; Khao San Road && 6.44 km ; Wat Pho Temple && 6.58 km ; Wat Phra Kaew && 6.74 km ; Grand Palace && 6.8 km,Sukhumvit
24,26,Jellybean CheQinn Hostel Sukhumvit 4,"21/10, Sukhumvit 4, Klongtoey, Sukhumvit, Bangkok, Thailand",2.5,8.0,R and R Apparel International && 80 m ; Nana Fashions && 110 m ; Paul Bespoke && 180 m ; Rajawongse Clothier && 190 m ; Baron's Fashions && 190 m ; Majestic Tailors && 210 m ; New Landmark Boutique && 220 m ; Boss Sukhumvit Tailor && 230 m ; Gulati Bespoke Tailoring && 250 m ; Terminal 21 Shopping Mall && 800 m,Terminal 21 Shopping Mall && 800 m ; Central World && 1.67 km ; Jim Thompson && 2.42 km ; Yaowarat Road && 4.74 km ; Wat Saket && 5.29 km ; Khao San Road && 6.35 km ; Wat Pho Temple && 6.6 km ; Wat Phra Kaew && 6.74 km ; Asiatique - The Riverfront && 6.74 km ; Grand Palace && 6.79 km,Sukhumvit
25,27,Grande Centre Point Sukhumvit 55 Thong Lo,"300 Sukhumvit 55 (Thonglor), Sukhumvit Rd., Klongton Nua, Wattana , Bangkok, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.2,"The Eight, Thonglor && 120 m ; J Avenue, Thonglor && 300 m ; theCOMMONS && 370 m ; Maze Thonglor && 400 m ; Bangkok Farmer's Market && 400 m ; Asia Herb Association && 670 m ; Black Amber Social Club && 750 m ; Sombat Permpoon Gallery && 780 m ; Terminal 21 Shopping Mall && 2.44 km ; Central World && 4.9 km",Terminal 21 Shopping Mall && 2.44 km ; Central World && 4.9 km ; Jim Thompson && 5.26 km ; Yaowarat Road && 7.89 km ; Wat Saket && 8.52 km ; Asiatique - The Riverfront && 9.05 km ; Khao San Road && 9.58 km ; Wat Pho Temple && 9.8 km ; Wat Phra Kaew && 9.95 km ; Grand Palace && 10.01 km,Sukhumvit
26,28,Arnoma Grand,"99 Rajdamri Road, Pathumwan, Siam, Bangkok, Thailand",4.0,9.2,Groove && 160 m ; Ganesha Shrine && 160 m ; Gaysorn Shopping Center && 170 m ; Central World && 200 m ; ZEN Department Store && 240 m ; Amari Tailor && 240 m ; Amarin Plaza && 250 m ; Erawan Shrine && 250 m ; Ratchaprasong Intersection Shrines && 260 m ; Royal Asia Boutique && 270 m,Central World && 200 m ; Jim Thompson && 1.97 km ; Terminal 21 Shopping Mall && 2.32 km ; Yaowarat Road && 3.45 km ; Wat Saket && 3.8 km ; Khao San Road && 4.85 km ; Wat Pho Temple && 5.21 km ; Wat Phra Kaew && 5.31 km ; Grand Palace && 5.36 km ; Asiatique - The Riverfront && 6.24 km,Siam
27,29,Pinnacle Lumpinee Park Hotel,"17 Soi Ngam Du Pli, Rama 4 Road,, Sathorn, Bangkok, Thailand, 10120",3.5,8.0,Goethe Institut && 280 m ; Boxing Stadium && 450 m ; Bangkok CityCity Gallery && 470 m ; Surapon Gallery && 1.11 km ; Lumphini Park && 1.13 km ; Queen Sirikit National Convention Center && 1.16 km ; Venus Jewelry && 1.16 km ; Khlong Toei Market && 1.24 km ; Bhumibol Bridge (Industrial Ring Road Bridge) && 1.25 km ; Benjakiti Park && 1.3 km,Jim Thompson && 1.77 km ; Terminal 21 Shopping Mall && 2.04 km ; Central World && 2.67 km ; Yaowarat Road && 4.58 km ; Asiatique - The Riverfront && 5.31 km ; Wat Saket && 5.62 km ; Wat Pho Temple && 6.52 km ; Khao San Road && 6.7 km ; Wat Phra Kaew && 6.75 km ; Grand Palace && 6.82 km,Sathorn
28,31,At Mind Executive Suites,"8, Sukhumvit soi 85, Bangchak, Phrakhanong, Sukhumvit, Bangkok, Thailand, 10260",4.5,7.4,Tesco Lotus Sukhumvit && 410 m ; Asia Herb Association - Phrom Phong Shop && 860 m ; On Nut Market && 1.29 km ; HOF Art Space at W District && 1.31 km ; W Market && 1.69 km ; Wat Mahabut && 1.89 km ; Dhammamongkol Temple && 1.99 km ; Siam Paradise Night Bazar && 2.15 km ; QiSS Mall && 2.18 km ; The Orthodox St.Nicolas Church && 2.23 km,Terminal 21 Shopping Mall && 6.03 km ; Jim Thompson && 8.13 km ; Central World && 8.41 km ; Asiatique - The Riverfront && 10.75 km ; Yaowarat Road && 10.93 km ; Wat Saket && 11.87 km ; Wat Pho Temple && 12.87 km ; Khao San Road && 12.96 km ; Wat Phra Kaew && 13.1 km ; Grand Palace && 13.17 km,Sukhumvit
29,32,I Residence Hotel Sathorn,"269/29-30 Suan Plu Soi 6, Sathorn Road, Thungmahamek, Sathorn, Bangkok, Thailand, 10120",3.0,7.4,Red Bull X Park && 440 m ; Surapon Gallery && 480 m ; M.R. Kukrit's Heritage Home && 540 m ; St Andrews International School Sathorn Campus && 630 m ; M R Kukrit Pramoj House && 660 m ; Wat Kuhasawan && 670 m ; Rajamangala University of Technology Krungthep && 690 m ; Ruen-Nuad Massage & Yoga && 700 m ; Maruti Tailor && 720 m ; Bangkok CityCity Gallery && 770 m,Jim Thompson && 1.26 km ; Central World && 2.85 km ; Terminal 21 Shopping Mall && 3.04 km ; Yaowarat Road && 3.86 km ; Asiatique - The Riverfront && 4.21 km ; Wat Saket && 5.09 km ; Wat Pho Temple && 5.75 km ; Wat Phra Kaew && 6.03 km ; Grand Palace && 6.1 km ; Khao San Road && 6.13 km,Sathorn
30,33,Cazz Hostel,"1761-1763 Sukhumvit Road Prakanong Nua Wattana , Sukhumvit, Bangkok, Thailand, 10110",2.5,8.2,HOF Art Space at W District && 30 m ; W Market && 350 m ; Tesco Lotus Sukhumvit && 930 m ; QiSS Mall && 1 km ; Enlever Ses Vetements && 1.28 km ; Wat That Thong && 1.32 km ; Herrmann Suits && 1.34 km ; Gateway Ekamai && 1.41 km ; The Boss Avenue (Tailor) && 1.49 km ; Bangkok University City Campus && 1.52 km,Terminal 21 Shopping Mall && 4.75 km ; Jim Thompson && 7.03 km ; Central World && 7.16 km ; Yaowarat Road && 9.82 km ; Asiatique - The Riverfront && 10.01 km ; Wat Saket && 10.68 km ; Wat Pho Temple && 11.76 km ; Khao San Road && 11.77 km ; Wat Phra Kaew && 11.97 km ; Grand Palace && 12.03 km,Sukhumvit
