,hotel_name,lat,long,coordinate,avg_price
0,12th Avenue Hotel Bangkok,13.734550500000001,100.5578375,"[100.5578375, 13.7345505]",2539.0408163265306
1,1Sabai Hostel,13.739672699999998,100.56542979999999,"[100.5654298, 13.7396727]",1020.75
2,2Bedtel,13.74143,100.6192233,"[100.6192233, 13.74143]",1019.0
3,2W Bed & Breakfast Bangkok,13.7387164,100.51460159999999,"[100.5146016, 13.7387164]",663.5
4,39 Boulevard Executive Residence,13.737394199999999,100.5698562,"[100.5698562, 13.7373942]",2862.782608695652
5,4J Lodge@Bangkok,13.7609272,100.50190970000001,"[100.5019097, 13.7609272]",828.5116279069767
6,4M Pratunam Hotel,13.7543014,100.53759649999999,"[100.5375965, 13.7543014]",1127.3636363636363
7,5 Minute Hostel,13.755341699999999,100.53100400000001,"[100.531004, 13.7553417]",595.0
8,99hotel,13.861185999999998,100.509957,"[100.509957, 13.861186]",792.3333333333334
9,@Ratchada 14,13.782079000000001,100.575006,"[100.575006, 13.782079]",651.1428571428571
10,A-One Bangkok Hotel,13.746929999999999,100.58682900000001,"[100.586829, 13.74693]",4730.575
11,A7 Hidden Hostel,13.7410823,100.5555942,"[100.5555942, 13.7410823]",1796.0
12,Abloom Exclusive Serviced Apartments,13.773409,100.5410663,"[100.5410663, 13.773409]",4848.576923076923
13,Ad Lib Bangkok,13.7452529,100.5522899,"[100.5522899, 13.7452529]",4374.05
14,Adamaz House,13.7621844,100.4967757,"[100.4967757, 13.7621844]",766.35
15,Adelphi Suites Bangkok,13.738969,100.55577190000001,"[100.5557719, 13.738969]",3499.75
16,All Together Suite,13.773033199999999,100.5819643,"[100.5819643, 13.7730332]",523.0
17,Aloft Bangkok Sukhumvit 11,13.744322899999998,100.55656809999999,"[100.5565681, 13.7443229]",2749.0
18,Alt Hotel Nana by UHG,13.735053099999998,100.55214079999999,"[100.5521408, 13.7350531]",1217.4444444444443
19,Amanta Hotel & Residence Ratchada,13.7652201,100.5678925,"[100.5678925, 13.7652201]",3649.7
20,Amaranta Hotel,13.7789193,100.5762781,"[100.5762781, 13.7789193]",3582.230769230769
21,Amari Residences Bangkok,13.748199300000001,100.58490379999999,"[100.5849038, 13.7481993]",3459.581818181818
22,Ambassador Hotel Bangkok,13.7418139,100.55684509999999,"[100.5568451, 13.7418139]",2482.7
23,Anantara Riverside Bangkok Resort,13.704460500000001,100.49197120000001,"[100.4919712, 13.7044605]",12949.132075471698
24,Anantara Sathorn Bangkok Hotel,13.716346300000001,100.53158979999999,"[100.5315898, 13.7163463]",3805.875
25,Anantara Siam Bangkok Hotel,13.7409209,100.54020059999999,"[100.5402006, 13.7409209]",9803.92888888889
26,Apartelle Jatujak Hotel,13.817202499999999,100.5656464,"[100.5656464, 13.8172025]",1658.1515151515152
27,Aranta Airport Hotel,13.723251000000001,100.732283,"[100.732283, 13.723251]",2493.548387096774
28,Aravinda Living Home,13.721558499999999,100.58925529999999,"[100.5892553, 13.7215585]",457.0
29,Ariva Ivy Servizio Thonglor Serviced Apartment,13.7372476,100.58332490000001,"[100.5833249, 13.7372476]",1837.5
30,Arize Hotel Sukhumvit,13.728697199999997,100.57028299999999,"[100.570283, 13.7286972]",2992.3333333333335
31,Arte Hotel,13.7401589,100.5595177,"[100.5595177, 13.7401589]",3396.71875
32,Asia Hotel Bangkok,13.751382099999999,100.5311441,"[100.5311441, 13.7513821]",1535.2857142857142
33,Asoke Residence Sukhumvit by UHG,13.746570000000002,100.561718,"[100.561718, 13.74657]",1645.4642857142858
34,Aspen Suites Hotel Sukhumvit 2 Bangkok by Compass Hospitality,13.7378664,100.55206,"[100.55206, 13.7378664]",1918.7857142857142
35,Aspira Davinci Sukhumvit 31,13.7344242,100.56587640000001,"[100.5658764, 13.7344242]",1189.0
36,Aspira G Sukhumvit 33,13.735545000000002,100.567947,"[100.567947, 13.735545]",1364.25
37,Aspira Grand Regency Sukhumvit 22,13.731869,100.564994,"[100.564994, 13.731869]",2036.6363636363637
38,Aspira Hana Residence Thong Lor,13.738750699999999,100.580686,"[100.580686, 13.7387507]",2969.7419354838707
39,Aspira Sukhumvit,13.7410666,100.55574200000001,"[100.555742, 13.7410666]",1695.03125
40,Astera Sathorn Hotel,13.717607000000001,100.51648399999999,"[100.516484, 13.717607]",3329.76
41,At Mind Executive Suites,13.702594400000002,100.60337,"[100.60337, 13.7025944]",1009.6428571428571
42,At Residence Suvarnabhumi,13.7213096,100.733187,"[100.733187, 13.7213096]",1440.0
43,At Smile House,13.755965,100.497959,"[100.497959, 13.755965]",1223.2857142857142
44,Atlas Bangkok Hotel,13.7410823,100.5555942,"[100.5555942, 13.7410823]",1921.851851851852
45,Atrium Boutique Resort,13.774345499999999,100.57844759999999,"[100.5784476, 13.7743455]",992.5
46,August Residence,13.7393395,100.5665094,"[100.5665094, 13.7393395]",1481.875
47,Aurum The River Place,13.743761600000001,100.4922454,"[100.4922454, 13.7437616]",3138.0
48,Avani+ Riverside Bangkok Hotel,13.705010199999998,100.49143240000001,"[100.4914324, 13.7050102]",11069.388888888889
49,B.U. Place Hotel,13.761423,100.558823,"[100.558823, 13.761423]",1511.0833333333333
50,BB Boutique Mansion,13.730993,100.56313,"[100.56313, 13.730993]",875.75
51,BRB Hostel Bangkok Silom,13.726641,100.53102,"[100.53102, 13.726641]",573.0491803278688
52,BS Residence Suvarnabhumi,13.720259200000001,100.73938249999999,"[100.7393825, 13.7202592]",843.6153846153846
53,Baan Chantra,13.7645782,100.49986390000001,"[100.4998639, 13.7645782]",1993.875
54,Baan Chatuchak,13.7973478,100.5503733,"[100.5503733, 13.7973478]",1848.5
55,Baan Dinso,13.755243,100.501114,"[100.501114, 13.755243]",1414.9938271604938
56,Baan Glang Soi,13.719171,100.517089,"[100.517089, 13.719171]",1335.135593220339
57,Baan Noppawong,13.756295000000001,100.50062199999999,"[100.500622, 13.756295]",2746.464285714286
58,Baan Pra Nond Bed & Breakfast,13.717225199999998,100.5197522,"[100.5197522, 13.7172252]",1830.0
59,Baan Sathorn Riverfront,13.7189245,100.5092208,"[100.5092208, 13.7189245]",2185.060606060606
60,Baan Tipa House Wanglang,13.7545451,100.4861766,"[100.4861766, 13.7545451]",980.3220338983051
61,BaanSu Hostel,13.7503714,100.52821920000001,"[100.5282192, 13.7503714]",1537.650980392157
62,Baanpermsook,13.925684099999998,100.529555,"[100.529555, 13.9256841]",984.25
63,Baiyoke Sky Hotel,13.7543452,100.5402098,"[100.5402098, 13.7543452]",3838.0444444444443
64,Baiyoke Suite Hotel,13.753043,100.539507,"[100.539507, 13.753043]",2014.857142857143
65,Ban Thungdang Boutique Hotel,13.755549499999999,100.5011702,"[100.5011702, 13.7555495]",838.2777777777778
66,Bandara Suites Silom,13.725871900000001,100.53829990000001,"[100.5382999, 13.7258719]",4166.7555555555555
67,Bangkok 68,13.786273000000001,100.569474,"[100.569474, 13.786273]",863.8333333333334
68,Bangkok Bed and Bike,13.747407999999998,100.497438,"[100.497438, 13.747408]",598.6470588235294
69,Bangkok Centre Hotel,13.7369731,100.516787,"[100.516787, 13.7369731]",1094.0
70,Bangkok City Hotel,13.754121,100.528689,"[100.528689, 13.754121]",1265.0
